Group,GeneID,log2FC,padj,avg_group1,avg_group2,direction,specificity,CV,biomarker_score
Heart,mmu-miR-149-5p,4.918,1.20197844334041e-09,48254,1595,UP in Heart,5.904040952983776,0.10978151988520995,259.00477482565003
Heart,mmu-miR-1b-5p,5.003,2.21062300807882e-08,296,9,UP in Heart,6.633530873637928,0.25360230547550433,254.06683961568712
Heart,mmu-miR-1a-3p,7.681,9.23271082069054e-05,3114902,15181,UP in Heart,7.805432503479465,0.4110059210186652,241.89274299468062
Heart,mmu-miR-504-5p,5.386,2.24769224791351e-06,193,4,UP in Heart,6.981840951784596,0.03587443946188341,212.39839105788383
Heart,mmu-miR-466q,3.56,0.000136458985391128,728,62,UP in Heart,5.43317705991908,0.09810874704491726,74.75721508751033
Heart,mmu-miR-743b-3p,5.469,0.00276737520767945,16,0,UP in Heart,5.305039787798409,0.3,74.21395149676516
Heart,mmu-miR-181a-2-3p,2.609,2.21062300807882e-08,1008,164,UP in Heart,3.182381280110117,0.12926934716817987,63.56221425871235
Heart,mmu-miR-208b-5p,5.597,0.0102949632451697,15,0,UP in Heart,5.278592375366569,0.37142857142857144,58.715572391189184
Heart,mmu-miR-741-3p,4.729,0.0115762533280171,50,2,UP in Heart,5.982053838484546,0.45,54.779980998968995
Heart,mmu-miR-486a-3p,3.056,0.00088974723292973,1720,207,UP in Heart,4.982079764113774,0.2510204081632653,46.4481345522352
Heart,mmu-miR-149-3p,4.016,0.000592117113458182,25,2,UP in Heart,3.444034440344404,0.25,44.64161238606832
Heart,mmu-miR-1251-5p,4.774,0.00945088057990493,12,0,UP in Heart,4.444444444444445,0.4074074074074074,42.955979363134745
Heart,mmu-miR-465b-3p,3.911,0.00945088057990493,14,1,UP in Heart,4.221635883905013,0.125,33.426608677455384
Heart,mmu-miR-465c-3p,3.911,0.00945088057990493,14,1,UP in Heart,4.221635883905013,0.125,33.426608677455384
Heart,mmu-miR-488-3p,3.283,0.00945088057990493,30,3,UP in Heart,4.6875,0.5,31.15558368512734
Heart,mmu-miR-743a-3p,3.91,0.0178915163796909,16,1,UP in Heart,4.379562043795621,0.0,29.92182324981602
Heart,mmu-miR-135a-2-3p,4.33,0.0310784079778575,15,1,UP in Heart,4.481792717086835,0.09090909090909091,29.255590157507257
Heart,mmu-miR-378b,2.86,0.00965352633622431,5733,790,UP in Heart,4.6898455452870325,0.08488204505802928,27.031322753109315
Heart,mmu-miR-378d,2.921,0.0121608359942727,19996,2641,UP in Heart,4.7945927929220264,0.29863387377081635,26.820097767384496
Heart,mmu-miR-378c,2.951,0.0145141279728291,97954,12664,UP in Heart,4.824787367697967,0.17185485849372198,26.17232401713047
Kidney,mmu-miR-10b-3p,6.134,1.06169399488365e-15,3448,49,UP in Kidney,6.885022467363759,0.024126198577172905,632.3928932889235
Kidney,mmu-miR-615-3p,7.638,1.54290102346476e-08,2884,15,UP in Kidney,7.586322775770815,0.07456626061277224,452.64154314458773
Kidney,mmu-miR-10b-5p,5.977,1.15170118671149e-07,81730,1297,UP in Kidney,7.046458943869518,0.15920560625473942,292.2333661077071
